index,full_name,short_name,description,output_type
502,ee.ImageCollection.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
503,ee.List.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
504,ee.Number.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
505,ee.String.aside,aside,"Calls a function passing this object as the first argument, and returning itself. Convenient e.g. when debugging:",ComputedObject
506,ee.Feature.bounds,bounds,Returns a feature containing the bounding box of the geometry of a given feature.,Feature
516,ee.Geometry.bounds,bounds,Returns the bounding rectangle of the geometry.,Geometry
517,ee.Feature.buffer,buffer,"Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.",Feature
527,ee.Geometry.buffer,buffer,"Returns the input buffered by a given distance. If the distance is positive, the geometry is expanded, and if the distance is negative, the geometry is contracted.",Geometry
528,ee.Feature.centroid,centroid,"Returns a feature containing the point at the center of the highest-dimension components of the geometry of a feature. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.",Feature
538,ee.Geometry.centroid,centroid,"Returns a point at the center of the highest-dimension components of the geometry. Lower-dimensional components are ignored, so the centroid of a geometry containing two polygons, three lines and a point is equivalent to the centroid of a geometry containing just the two polygons.",Geometry
539,ee.Feature.containedIn,containedIn,Returns true iff the geometry of one feature is contained in the geometry of another.,Boolean
549,ee.Geometry.containedIn,containedIn,Returns true iff one geometry is contained in the other.,Boolean
550,ee.Feature.convexHull,convexHull,"Returns the feature, with the geometry replaced by the convex hull of the original geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.",Feature
560,ee.Geometry.convexHull,convexHull,"Returns the convex hull of the given geometry. The convex hull of a single point is the point itself, the convex hull of collinear points is a line, and the convex hull of  everything else is a polygon. Note that a degenerate polygon with all vertices on the same line will result in a line segment.",Geometry
570,ee.Geometry.coordinates,coordinates,Returns a GeoJSON-style list of the geometry's coordinates.,List
571,ee.Feature.copyProperties,copyProperties,Copies metadata properties from one element to another.,Feature
572,ee.FeatureCollection.copyProperties,copyProperties,Copies metadata properties from one element to another.,FeatureCollection
573,ee.Image.copyProperties,copyProperties,Copies metadata properties from one element to another.,Image
574,ee.ImageCollection.copyProperties,copyProperties,Copies metadata properties from one element to another.,ImageCollection
584,ee.Geometry.coveringGrid,coveringGrid,"Returns a collection of features that cover this geometry, where each feature is a rectangle in the grid defined by the given projection.",FeatureCollection
585,ee.Feature.cutLines,cutLines,"Converts LineString, MultiLineString, and LinearRing geometries into a MultiLineString by cutting them into parts no longer than the given distance along their length. All other geometry types will be converted to an empty MultiLineString.",Feature
595,ee.Geometry.cutLines,cutLines,"Converts LineString, MultiLineString, and LinearRing geometries into a MultiLineString by cutting them into parts no longer than the given distance along their length. All other geometry types will be converted to an empty MultiLineString.",Geometry
596,ee.Feature.disjoint,disjoint,Returns true iff the feature geometries are disjoint.,Boolean
606,ee.Geometry.disjoint,disjoint,Returns true iff the geometries are disjoint.,Boolean
607,ee.Feature.dissolve,dissolve,"Returns a feature containing the union of the geometry of a feature. This leaves single geometries untouched, and unions multi geometries.",Feature
617,ee.Geometry.dissolve,dissolve,"Returns the union of the geometry. This leaves single geometries untouched, and unions multi geometries.",Geometry
618,ee.FeatureCollection.draw,draw,Paints a vector collection for visualization. Not intended for use as input to other algorithms.,Image
619,ee.ImageCollection.draw,draw,Paints a image collection for visualization. Not intended for use as input to other algorithms.,Image
629,ee.Geometry.edgesAreGeodesics,edgesAreGeodesics,"Returns true if the geometry edges, if any, are geodesics along a spherical model of the earth; if false, any edges are straight lines in the projection.",Boolean
630,ee.FeatureCollection.errorMatrix,errorMatrix,"Computes a 2D error matrix for a collection by comparing two columns of a collection: one containing the actual values, and one containing predicted values.The values are expected to be small contiguous integers, starting from 0. Axis 0 (the rows) of the matrix correspond to the actual values, and Axis 1 (the columns) to the predicted values.",ConfusionMatrix
631,ee.ImageCollection.errorMatrix,errorMatrix,"Computes a 2D error matrix for a collection by comparing two columns of a collection: one containing the actual values, and one containing predicted values.The values are expected to be small contiguous integers, starting from 0. Axis 0 (the rows) of the matrix correspond to the actual values, and Axis 1 (the columns) to the predicted values.",ConfusionMatrix
641,ee.Geometry.geodesic,geodesic,"If false, edges are straight in the projection. If true, edges are curved to follow the shortest path on the surface of the Earth.",Boolean
651,ee.Geometry.geometries,geometries,"Returns the list of geometries in a GeometryCollection, or a singleton list of the geometry for single geometries.",List
652,ee.Date.getInfo,getInfo,Retrieves the value of this object from the server.,Object
654,ee.Feature.getInfo,getInfo,An imperative function that returns information about this feature via an AJAX call.,GeoJSONFeature
655,ee.FeatureCollection.getInfo,getInfo,An imperative function that returns all the known information about this collection via an AJAX call.,FeatureCollectionDescription
665,ee.Geometry.getInfo,getInfo,Retrieves the value of this object from the server.,Object
666,ee.Image.getInfo,getInfo,An imperative function that returns information about this image via an AJAX call.,ImageDescription
667,ee.ImageCollection.getInfo,getInfo,An imperative function that returns all the known information about this collection via an AJAX call.,ImageCollectionDescription
671,ee.Feature.getMap,getMap,"An imperative function that returns a map ID and optional token, suitable for generating a Map overlay.",Object
672,ee.FeatureCollection.getMap,getMap,"An imperative function that returns a map id and token, suitable for generating a Map overlay.",Object
673,ee.Image.getMap,getMap,"An imperative function that returns a map id and optional token, suitable for generating a Map overlay.",Object
674,ee.ImageCollection.getMap,getMap,An imperative function that returns a mapid via a synchronous AJAX call.,Object
675,ee.Feature.hersDescriptor,hersDescriptor,Creates a dictionary of Histogram Error Ring Statistic (HERS) descriptor arrays from square array properties of an element. The HERS radius is taken to be the array's (side_length - 1) / 2.,Dictionary
676,ee.Image.hersDescriptor,hersDescriptor,Creates a dictionary of Histogram Error Ring Statistic (HERS) descriptor arrays from square array properties of an element. The HERS radius is taken to be the array's (side_length - 1) / 2.,Dictionary
677,ee.Feature.id,id,Returns the ID of a given element within a collection. Objects outside collections are not guaranteed to have IDs.,String
678,ee.Image.id,id,Returns the ID of a given element within a collection. Objects outside collections are not guaranteed to have IDs.,String
679,ee.FeatureCollection.iterate,iterate,"Applies a user-supplied function to each element of a collection. The user-supplied function is given two arguments: the current element, and the value returned by the previous call to iterate() or the first argument, for the first iteration. The result is the value returned by the final call to the user-supplied function.",ComputedObject
680,ee.ImageCollection.iterate,iterate,"Applies a user-supplied function to each element of a collection. The user-supplied function is given two arguments: the current element, and the value returned by the previous call to iterate() or the first argument, for the first iteration. The result is the value returned by the final call to the user-supplied function.",ComputedObject
681,ee.List.iterate,iterate,"Iterate an algorithm over a list.  The algorithm is expected to take two objects, the current list item, and the result from the previous iteration or the value of first for the first iteration.",Object
682,ee.Dictionary.map,map,"Map an algorithm over a dictionary.  The algorithm is expected to take 2 arguments, a key from the existing dictionary and the value it corresponds to, and return a new value for the given key.  If the algorithm returns null, the key is dropped.",Dictionary
683,ee.FeatureCollection.map,map,Maps an algorithm over a collection.,Collection
684,ee.ImageCollection.map,map,Maps an algorithm over a collection.,Collection
685,ee.List.map,map,Map an algorithm over a list.  The algorithm is expected to take an Object and return an Object.,List
690,ee.Geometry.perimeter,perimeter,Returns the length of the perimeter of the polygonal parts of the geometry. The perimeter of multi geometries is the sum of the perimeters of their components.,Float
691,ee.Feature.propertyNames,propertyNames,Returns the names of properties on this element.,List
692,ee.FeatureCollection.propertyNames,propertyNames,Returns the names of properties on this element.,List
693,ee.Image.propertyNames,propertyNames,Returns the names of properties on this element.,List
694,ee.ImageCollection.propertyNames,propertyNames,Returns the names of properties on this element.,List
695,ee.FeatureCollection.randomColumn,randomColumn,"Adds a column of deterministic pseudorandom numbers to a collection.  The outputs are double-precision floating point numbers. When using the 'uniform' distribution (default), outputs are in the range of [0, 1). Using the 'normal' distribution, outputs have μ=0, 𝛔=1, but have no explicit limits.",FeatureCollection
696,ee.ImageCollection.randomColumn,randomColumn,"Adds a column of deterministic pseudorandom numbers to a collection.  The outputs are double-precision floating point numbers. When using the 'uniform' distribution (default), outputs are in the range of [0, 1). Using the 'normal' distribution, outputs have μ=0, 𝛔=1, but have no explicit limits.",ImageCollection
697,ee.Array.reduce,reduce,Apply a reducer to an array by collapsing all the input values along each specified axis into a single output value computed by the reducer.,Array
698,ee.Image.reduce,reduce,Applies a reducer to all of the bands of an image.,Image
699,ee.ImageCollection.reduce,reduce,Applies a reducer across all of the images in a collection.,Image
700,ee.List.reduce,reduce,"Apply a reducer to a list.  If the reducer takes more than 1 input, then each element in the list is assumed to be a list of inputs.  If the reducer returns a single output, it is returned directly, otherwise returns a dictionary containing the named reducer outputs.",Object
701,ee.FeatureCollection.reduceColumns,reduceColumns,"Apply a reducer to each element of a collection, using the given selectors to determine the inputs.",Dictionary
702,ee.ImageCollection.reduceColumns,reduceColumns,"Apply a reducer to each element of a collection, using the given selectors to determine the inputs.",Dictionary
703,ee.FeatureCollection.reduceToImage,reduceToImage,Creates an image from a feature collection by applying a reducer over the selected properties of all the features that intersect each pixel.,Image
704,ee.ImageCollection.reduceToImage,reduceToImage,Creates an image from a feature collection by applying a reducer over the selected properties of all the features that intersect each pixel.,Image
709,ee.Geometry.symmetricDifference,symmetricDifference,Returns the symmetric difference between two geometries.,Geometry
732,ee.Geometry.type,type,Returns the GeoJSON type of the geometry.,String
733,ee.Feature.withinDistance,withinDistance,Returns true iff the geometries of two features are within a specified distance.,Boolean
743,ee.Geometry.withinDistance,withinDistance,Returns true iff the geometries are within a specified distance.,Boolean
744,ee.Feature.contains,contains,Returns true iff the geometry of one feature contains the geometry of another.,Boolean
754,ee.Geometry.contains,contains,Returns true iff one geometry contains the other.,Boolean
755,ee.DateRange.contains,contains,Returns true if the given Date or DateRange is within this DateRange.,Boolean
756,ee.Dictionary.contains,contains,Returns true if the dictionary contains the given key.,Boolean
757,ee.List.contains,contains,Returns true if list contains element.,Boolean
758,ee.Feature.difference,difference,"Returns a feature with the properties of the 'left' feature, and the geometry that results from subtracting the 'right' geometry from the 'left' geometry.",Feature
768,ee.Geometry.difference,difference,Returns the result of subtracting the 'right' geometry from the 'left' geometry.,Geometry
769,ee.Date.difference,difference,Returns the difference between two Dates in the specified units; the result is floating-point and based on the average length of the unit.,Float
770,ee.Feature.distance,distance,Returns the minimum distance between the geometries of two features.,Float
780,ee.Geometry.distance,distance,Returns the minimum distance between two geometries.,Float
781,ee.ImageCollection.distance,distance,"Produces a DOUBLE image where each pixel is the distance in meters from the pixel center to the nearest Point, LineString, or polygonal boundary in the collection. Note distance is also measured within interiors of polygons. Pixels that are not within 'searchRadius' meters of a geometry will be masked out.",Image
782,ee.FeatureCollection.distance,distance,"Produces a DOUBLE image where each pixel is the distance in meters from the pixel center to the nearest Point, LineString, or polygonal boundary in the collection. Note distance is also measured within interiors of polygons. Pixels that are not within 'searchRadius' meters of a geometry will be masked out.",Image
783,ee.Image.distance,distance,"Computes the distance to the nearest non-zero pixel in each band, using the specified distance kernel.",Image
784,ee.Date.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
785,ee.Dictionary.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
786,ee.Feature.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
787,ee.FeatureCollection.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
797,ee.Geometry.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
798,ee.Image.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
799,ee.ImageCollection.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
800,ee.List.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
801,ee.Number.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
802,ee.String.evaluate,evaluate,Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.,EMPTY
803,ee.Feature.intersection,intersection,"Returns a feature containing the intersection of the geometries of two features, with the properties of the left feature.",Feature
813,ee.Geometry.intersection,intersection,Returns the intersection of the two geometries.,Geometry
814,ee.DateRange.intersection,intersection,Returns a DateRange that contains all points in the intersection of this DateRange and another.,DateRange
815,ee.Feature.intersects,intersects,Returns true iff the feature geometries intersect.,Boolean
825,ee.Geometry.intersects,intersects,Returns true iff the geometries intersect.,Boolean
826,ee.DateRange.intersects,intersects,Returns true if the given DateRange has at least one point in common with this DateRange.,Boolean
836,ee.Geometry.isUnbounded,isUnbounded,Returns whether the geometry is unbounded.,Boolean
837,ee.DateRange.isUnbounded,isUnbounded,Returns true if this DateRange contains all dates.,Boolean
838,ee.Feature.length,length,Returns the length of the linear parts of the geometry of a given feature. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.,Float
848,ee.Geometry.length,length,Returns the length of the linear parts of the geometry. Polygonal parts are ignored. The length of multi geometries is the sum of the lengths of their components.,Float
849,ee.Array.length,length,Returns a 1-D ee.Array containing the length of each dimension of the given ee.Array.,Array
850,ee.List.length,length,Returns the number of elements in list.,Integer
851,ee.String.length,length,Returns the length of a string.,Integer
861,ee.Geometry.projection,projection,Returns the projection of the geometry.,Projection
862,ee.Image.projection,projection,Returns the default projection of an Image.  Throws an error if the bands of the image don't all have the same projection.,Projection
863,ee.Feature.simplify,simplify,"Simplifies the geometry of a feature to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.",Feature
873,ee.Geometry.simplify,simplify,"Simplifies the geometry to within a given error margin. Note that this does not respect the error margin requested by the consumer of this algorithm, unless maxError is explicitly specified to be null.",Geometry
874,ee.Feature.transform,transform,Transforms the geometry of a feature to a specific projection.,Feature
884,ee.Geometry.transform,transform,Transforms the geometry to a specific projection.,Geometry
885,ee.Projection.transform,transform,Returns a WKT representation of the transform of this Projection. This is the transform that converts from projected coordinates to the base coordinate system.,String
886,ee.Feature.union,union,Returns a feature containing the union of the geometries of two features.,Feature
896,ee.Geometry.union,union,Returns the union of the two geometries.,Geometry
897,ee.DateRange.union,union,Returns a DateRange that contains all points in the union of this DateRange and another.,DateRange
898,ee.FeatureCollection.union,union,Merges all geometries in a given collection into one and returns a collection containing a single feature with only an ID of 'union_result' and a geometry.,FeatureCollection
899,ee.ImageCollection.union,union,Merges all geometries in a given collection into one and returns a collection containing a single feature with only an ID of 'union_result' and a geometry.,ImageCollection
900,ee.Array.abs,abs,"On an element-wise basis, computes the absolute value of the input.",Array
901,ee.Image.abs,abs,Computes the absolute value of the input.,Image
902,ee.Number.abs,abs,Computes the absolute value of the input.,Number
903,ee.Array.acos,acos,"On an element-wise basis, computes the arc cosine in radians of the input.",Array
904,ee.Image.acos,acos,Computes the arc cosine in radians of the input.,Image
905,ee.Number.acos,acos,Computes the arc cosine in radians of the input.,Number
906,ee.Array.add,add,"On an element-wise basis, adds the first value to the second.",Array
907,ee.Image.add,add,"Adds the first value to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
908,ee.Kernel.add,add,"Adds two kernels (pointwise), after aligning their centers.",Kernel
909,ee.List.add,add,Appends the element to the end of list.,List
910,ee.Number.add,add,Adds the first value to the second.,Number
911,ee.FeatureCollection.aggregate_array,aggregate_array,"Aggregates over a given property of the objects in a collection, calculating a list of all the values of the selected property.",List
912,ee.ImageCollection.aggregate_array,aggregate_array,"Aggregates over a given property of the objects in a collection, calculating a list of all the values of the selected property.",List
913,ee.FeatureCollection.aggregate_count,aggregate_count,"Aggregates over a given property of the objects in a collection, calculating the number of non-null values of the property.",Number
914,ee.ImageCollection.aggregate_count,aggregate_count,"Aggregates over a given property of the objects in a collection, calculating the number of non-null values of the property.",Number
915,ee.FeatureCollection.aggregate_count_distinct,aggregate_count_distinct,"Aggregates over a given property of the objects in a collection, calculating the number of distinct values for the selected property.",Number
916,ee.ImageCollection.aggregate_count_distinct,aggregate_count_distinct,"Aggregates over a given property of the objects in a collection, calculating the number of distinct values for the selected property.",Number
917,ee.FeatureCollection.aggregate_first,aggregate_first,"Aggregates over a given property of the objects in a collection, calculating the property value of the first object in the collection.",EMPTY
918,ee.ImageCollection.aggregate_first,aggregate_first,"Aggregates over a given property of the objects in a collection, calculating the property value of the first object in the collection.",EMPTY
919,ee.FeatureCollection.aggregate_histogram,aggregate_histogram,"Aggregates over a given property of the objects in a collection, calculating a histogram of the selected property.",Dictionary
920,ee.ImageCollection.aggregate_histogram,aggregate_histogram,"Aggregates over a given property of the objects in a collection, calculating a histogram of the selected property.",Dictionary
921,ee.FeatureCollection.aggregate_max,aggregate_max,"Aggregates over a given property of the objects in a collection, calculating the maximum of the values of the selected property.",EMPTY
922,ee.ImageCollection.aggregate_max,aggregate_max,"Aggregates over a given property of the objects in a collection, calculating the maximum of the values of the selected property.",EMPTY
923,ee.FeatureCollection.aggregate_mean,aggregate_mean,"Aggregates over a given property of the objects in a collection, calculating the mean of the selected property.",Number
924,ee.ImageCollection.aggregate_mean,aggregate_mean,"Aggregates over a given property of the objects in a collection, calculating the mean of the selected property.",Number
925,ee.FeatureCollection.aggregate_min,aggregate_min,"Aggregates over a given property of the objects in a collection, calculating the minimum of the values of the selected property.",EMPTY
926,ee.ImageCollection.aggregate_min,aggregate_min,"Aggregates over a given property of the objects in a collection, calculating the minimum of the values of the selected property.",EMPTY
927,ee.FeatureCollection.aggregate_product,aggregate_product,"Aggregates over a given property of the objects in a collection, calculating the product of the values of the selected property.",Number
928,ee.ImageCollection.aggregate_product,aggregate_product,"Aggregates over a given property of the objects in a collection, calculating the product of the values of the selected property.",Number
929,ee.FeatureCollection.aggregate_sample_sd,aggregate_sample_sd,"Aggregates over a given property of the objects in a collection, calculating the sample std. deviation of the values of the selected property.",Number
930,ee.ImageCollection.aggregate_sample_sd,aggregate_sample_sd,"Aggregates over a given property of the objects in a collection, calculating the sample std. deviation of the values of the selected property.",Number
931,ee.FeatureCollection.aggregate_sample_var,aggregate_sample_var,"Aggregates over a given property of the objects in a collection, calculating the sample variance of the values of the selected property.",Number
932,ee.ImageCollection.aggregate_sample_var,aggregate_sample_var,"Aggregates over a given property of the objects in a collection, calculating the sample variance of the values of the selected property.",Number
933,ee.FeatureCollection.aggregate_stats,aggregate_stats,"Aggregates over a given property of the objects in a collection, calculating the sum, min, max, mean, sample standard deviation, sample variance, total standard deviation and total variance of the selected property.",Dictionary
934,ee.ImageCollection.aggregate_stats,aggregate_stats,"Aggregates over a given property of the objects in a collection, calculating the sum, min, max, mean, sample standard deviation, sample variance, total standard deviation and total variance of the selected property.",Dictionary
935,ee.FeatureCollection.aggregate_sum,aggregate_sum,"Aggregates over a given property of the objects in a collection, calculating the sum of the values of the selected property.",Number
936,ee.ImageCollection.aggregate_sum,aggregate_sum,"Aggregates over a given property of the objects in a collection, calculating the sum of the values of the selected property.",Number
937,ee.FeatureCollection.aggregate_total_sd,aggregate_total_sd,"Aggregates over a given property of the objects in a collection, calculating the total std. deviation of the values of the selected property.",Number
938,ee.ImageCollection.aggregate_total_sd,aggregate_total_sd,"Aggregates over a given property of the objects in a collection, calculating the total std. deviation of the values of the selected property.",Number
939,ee.FeatureCollection.aggregate_total_var,aggregate_total_var,"Aggregates over a given property of the objects in a collection, calculating the total variance of the values of the selected property.",Number
940,ee.ImageCollection.aggregate_total_var,aggregate_total_var,"Aggregates over a given property of the objects in a collection, calculating the total variance of the values of the selected property.",Number
941,ee.Array.and,and,"On an element-wise basis, returns 1 iff both values are non-zero.",Array
942,ee.Image.and,and,"Returns 1 iff both values are non-zero for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
943,ee.ImageCollection.and,and,Reduces an image collection by setting each pixel to 1 iff all the non-masked values at that pixel are non-zero across the stack of all matching bands. Bands are matched by name.,Image
944,ee.Number.and,and,Returns 1 iff both values are non-zero.,Number
945,ee.Array.asin,asin,"On an element-wise basis, computes the arc sine in radians of the input.",Array
946,ee.Image.asin,asin,Computes the arc sine in radians of the input.,Image
947,ee.Number.asin,asin,Computes the arc sine in radians of the input.,Number
948,ee.Array.atan,atan,"On an element-wise basis, computes the arc tangent in radians of the input.",Array
949,ee.Image.atan,atan,Computes the arc tangent in radians of the input.,Image
950,ee.Number.atan,atan,Computes the arc tangent in radians of the input.,Number
951,ee.Array.atan2,atan2,"On an element-wise basis, calculates the angle formed by the 2D vector [x, y].",Array
952,ee.Image.atan2,atan2,"Calculates the angle formed by the 2D vector [x, y] for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.",Image
953,ee.Number.atan2,atan2,"Calculates the angle formed by the 2D vector [x, y].",Number
954,ee.Array.bitCount,bitCount,"On an element-wise basis, calculates the number of one-bits in the 64-bit two's complement binary representation of the input.",Array
955,ee.Image.bitCount,bitCount,Calculates the number of one-bits in the 64-bit two's complement binary representation of the input.,Image
956,ee.Number.bitCount,bitCount,Calculates the number of one-bits in the 64-bit two's complement binary representation of the input.,Number
957,ee.Array.bitwiseAnd,bitwiseAnd,"On an element-wise basis, calculates the bitwise AND of the input values.",Array
958,ee.Image.bitwiseAnd,bitwiseAnd,"Calculates the bitwise AND of the input values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
959,ee.Number.bitwiseAnd,bitwiseAnd,Calculates the bitwise AND of the input values.,Number
960,ee.Array.bitwiseNot,bitwiseNot,"On an element-wise basis, calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.",Array
961,ee.Image.bitwiseNot,bitwiseNot,"Calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.",Image
962,ee.Number.bitwiseNot,bitwiseNot,"Calculates the bitwise NOT of the input, in the smallest signed integer type that can hold the input.",Number
963,ee.Array.bitwiseOr,bitwiseOr,"On an element-wise basis, calculates the bitwise OR of the input values.",Array
964,ee.Image.bitwiseOr,bitwiseOr,"Calculates the bitwise OR of the input values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
965,ee.Number.bitwiseOr,bitwiseOr,Calculates the bitwise OR of the input values.,Number
966,ee.Array.bitwiseXor,bitwiseXor,"On an element-wise basis, calculates the bitwise XOR of the input values.",Array
967,ee.Image.bitwiseXor,bitwiseXor,"Calculates the bitwise XOR of the input values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
968,ee.Number.bitwiseXor,bitwiseXor,Calculates the bitwise XOR of the input values.,Number
969,ee.Array.byte,byte,"On an element-wise basis, casts the input value to an unsigned 8-bit integer.",Array
970,ee.Image.byte,byte,Casts the input value to an unsigned 8-bit integer.,Image
971,ee.Number.byte,byte,Casts the input value to an unsigned 8-bit integer.,Number
972,ee.Image.cast,cast,Casts some or all bands of an image to the specified types.,Image
973,ee.ImageCollection.cast,cast,Casts some or all bands of each image in an ImageCollection to the specified types.,ImageCollection
974,ee.Array.cbrt,cbrt,"On an element-wise basis, computes the cubic root of the input.",Array
975,ee.Image.cbrt,cbrt,Computes the cubic root of the input.,Image
976,ee.Number.cbrt,cbrt,Computes the cubic root of the input.,Number
977,ee.Array.ceil,ceil,"On an element-wise basis, computes the smallest integer greater than or equal to the input.",Array
978,ee.Image.ceil,ceil,Computes the smallest integer greater than or equal to the input.,Image
979,ee.Number.ceil,ceil,Computes the smallest integer greater than or equal to the input.,Number
980,ee.Image.clamp,clamp,Clamps the values in all bands of an image to all lie within the specified range.,Image
981,ee.Number.clamp,clamp,Clamps the value to lie within the range of min to max.,Number
982,ee.Dictionary.combine,combine,"Combines two dictionaries.  In the case of duplicate names, the output will contain the value of the second dictionary unless overwrite is false.  Null values in both dictionaries are ignored / removed.",Dictionary
983,ee.ImageCollection.combine,combine,"Makes a new collection that is a copy of the images in primary, adding all the bands from the image in secondary with a matching ID. If there are no matching IDs, the resulting collection will be empty. This is equivalent to an inner join on ID with merging of the bands of the result.",ImageCollection
984,ee.Array.cos,cos,"On an element-wise basis, computes the cosine of the input in radians.",Array
985,ee.Image.cos,cos,Computes the cosine of the input in radians.,Image
986,ee.Number.cos,cos,Computes the cosine of the input in radians.,Number
987,ee.Array.cosh,cosh,"On an element-wise basis, computes the hyperbolic cosine of the input.",Array
988,ee.Image.cosh,cosh,Computes the hyperbolic cosine of the input.,Image
989,ee.Number.cosh,cosh,Computes the hyperbolic cosine of the input.,Number
990,ee.Array.digamma,digamma,"On an element-wise basis, computes the digamma function of the input.",Array
991,ee.Image.digamma,digamma,Computes the digamma function of the input.,Image
992,ee.Number.digamma,digamma,Computes the digamma function of the input.,Number
993,ee.Array.divide,divide,"On an element-wise basis, divides the first value by the second, returning 0 for division by 0.",Array
994,ee.Image.divide,divide,"Divides the first value by the second, returning 0 for division by 0 for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.",Image
995,ee.Number.divide,divide,"Divides the first value by the second, returning 0 for division by 0.",Number
996,ee.Array.double,double,"On an element-wise basis, casts the input value to a 64-bit float.",Array
997,ee.Image.double,double,Casts the input value to a 64-bit float.,Image
998,ee.Number.double,double,Casts the input value to a 64-bit float.,Number
999,ee.Array.eq,eq,"On an element-wise basis, returns 1 iff the first value is equal to the second.",Array
1000,ee.Image.eq,eq,"Returns 1 iff the first value is equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.",Image
1001,ee.Number.eq,eq,Returns 1 iff the first value is equal to the second.,Number
1002,ee.List.equals,equals,"Returns true if list contains the same elements as other, in the same order.",Boolean
1003,ee.String.equals,equals,"Checks for string equality with a given object. Returns true if the target is a string and is lexicographically equal to the reference, or false otherwise.",Boolean
1004,ee.Array.erf,erf,"On an element-wise basis, computes the error function of the input.",Array
1005,ee.Image.erf,erf,Computes the error function of the input.,Image
1006,ee.Number.erf,erf,Computes the error function of the input.,Number
1007,ee.Array.erfInv,erfInv,"On an element-wise basis, computes the inverse error function of the input.",Array
1008,ee.Image.erfInv,erfInv,Computes the inverse error function of the input.,Image
1009,ee.Number.erfInv,erfInv,Computes the inverse error function of the input.,Number
1010,ee.Array.exp,exp,"On an element-wise basis, computes the Euler's number e raised to the power of the input.",Array
1011,ee.Image.exp,exp,Computes the Euler's number e raised to the power of the input.,Image
